media,date,title,description,url,access_date,access_time
BBC,2025-05-28,Focus on Africa: African leaders attend Russia's Security Summit,Over forty African countries attend Russia's International Security Summit in Moscow,https://www.bbc.com/audio/play/p0ldywkf,2025-05-30,11:32:21
BBC,2025-05-23,Africa Daily,Africa Daily has now come to an end. But do listen to Focus on Africa for the big stories,https://www.bbc.com/audio/brand/p0925ydp,2025-05-30,11:32:21
BBC,2025-05-23,Africa Daily,Africa Daily,https://www.bbc.com/audio/series/p0925ydp,2025-05-30,11:32:21
BBC,2025-05-27,Introducing: Focus on Africa,The big stories from across the continent,https://www.bbc.com/audio/play/p0lds132,2025-05-30,11:32:21
BBC,2025-05-23,South Africa releases crime stats,South Africa crime: who suffers most from the extremely high rates of violence?,https://www.bbc.com/audio/play/p0ld2v28,2025-05-30,11:32:21
BBC,2025-05-20,A nuclear future for Africa?,The continent has only one operational plant but more nations want to invest in reactors,https://www.bbc.com/audio/play/w3ct6s6l,2025-05-30,11:32:21
BBC,2025-05-29,Man skateboarding to Africa has belongings stolen,"Sam Allison jokes he is ""kinda grateful"" for the theft in France as he now has less to carry.",https://www.bbc.com/news/articles/cdxvrxkw97wo,2025-05-30,11:32:21
BBC,2025-05-20,What’s the future of nursing in Africa?,Two nurses who are redefining the role and leading the way,https://www.bbc.com/audio/play/p0lc7vy1,2025-05-30,11:32:21
BBC,2025-05-22,US and South Africa trade talks turn tense,Fresh trade talks in the White House between the US and South Africa turned tense,https://www.bbc.com/audio/play/w172zrs2bwfz26f,2025-05-30,11:32:21
BBC,2025-05-29,South Africa police target gang kidnapping women in shopping centres,Police say a group of men are luring women for dates but later robbing and kidnapping them.,https://www.bbc.com/news/articles/c1e646wjg7zo,2025-05-30,11:32:21
BBC,2025-05-26,Why Trump’s ‘white genocide’ claim in South Africa is false,We debunk the statements made by the US President,https://www.bbc.com/audio/play/w3ct73nx,2025-05-30,11:32:21
BBC,2025-05-22,Why do so many children go missing in South Africa?,The disappearance of children in South Africa has been described as a crisis,https://www.bbc.com/audio/play/p0lcn9yr,2025-05-30,11:32:21
BBC,2025-05-06,Can Africa afford school meal programmes?,A report suggests creative ways for governments to fund the schemes.,https://www.bbc.com/audio/play/p0l8cp8q,2025-05-30,11:32:21
BBC,2025-05-30,African legends bring hope to Somali football,"Somalians hope hosting Emmanuel Adebayor, Samuel Eto'o and Jay Jay Okocha in a legends game can help bring international football back to the country after nearly 40 years.",https://www.bbc.com/sport/football/articles/cdxvw2yvqgno,2025-05-30,11:32:21
BBC,2025-05-07,Could the next pope come from Africa?,Today Catholic cardinals are meeting at the Vatican to secretly select the next Pope,https://www.bbc.com/audio/play/p0l8lksm,2025-05-30,11:32:21
BBC,2025-05-09,South Africa appoint Conrad as all-format coach,"South Africa name Shukri Conrad as their head coach in limited-overs cricket, expanding his role as lead of the Test side.",https://www.bbc.com/sport/cricket/articles/ckgq54nexq3o,2025-05-30,11:32:21
BBC,2025-05-15,Are white Afrikaner minorities really being targeted in South Africa?,"More than 50 Afrikaners relocated to the US this week, amid claims of persecution",https://www.bbc.com/audio/play/p0lb99zn,2025-05-30,11:32:21
BBC,2025-05-19,South Africa to pursue appeal against Nigerian pastor acquitted of rape,"Timothy Omotoso, who denies assaulting women from his church, has reportedly returned to Nigeria.",https://www.bbc.com/news/articles/cg5vqmzp333o,2025-05-30,11:32:21
BBC,2025-05-23,Why did Trump ambush the South African president?,Cyril Ramaphosa kept his cool despite the onslaught,https://www.bbc.com/audio/play/m002cf4v,2025-05-30,11:32:21
BBC,2025-05-07,Ditcheva to fight in South Africa for PFL,PFL flyweight champion Dakota Ditcheva will fight in South Africa in July in a non-title bout.,https://www.bbc.com/sport/mixed-martial-arts/articles/cwyqy2e9jeno,2025-05-30,11:32:21
BBC,2025-05-24,Pyramids grab late equaliser in African Champions League final,Pyramids grab a stoppage-time equliaser away against Mamelodi Sundowns to leave the first leg of the African Champions League final finely poised.,https://www.bbc.com/sport/football/articles/cn05z030e26o,2025-05-30,11:32:21
BBC,2025-05-08,Does Africa need to talk more about the Menopause?,“Immediately you say ‘I am menopausal’… they will brand you as an old person”,https://www.bbc.com/audio/play/p0l8tz92,2025-05-30,11:32:21
BBC,2025-05-29,Mother who sold six-year-old daughter given life term in South Africa,Joshlin Smith is yet to be found more than a year after she went missing from her home.,https://www.bbc.com/news/articles/cj93yvr3n1xo,2025-05-30,11:32:21
BBC,2025-05-28,Giant of African literature Ngũgĩ wa Thiong'o dies aged 87,The Kenyan author sent shockwaves through African literature by refusing to write in English.,https://www.bbc.com/news/articles/ce999kwxn1ro,2025-05-30,11:32:21
BBC,2025-05-30,Suspect in South African student's murder killed in police shootout,The main suspect in the murder of Olorato Mongale was found by police on Friday morning.,https://www.bbc.com/news/articles/cly31j72p3zo,2025-05-30,11:32:21
BBC,2025-05-09,South Africa criticises US plan to accept white Afrikaners as refugees,Reports say the first set of white South Africans could arrive in the US next week.,https://www.bbc.com/news/articles/cx2q937wlqgo,2025-05-30,11:32:21
BBC,2025-05-05,'An African pope would be inspirational',Roman Catholic ex-pats in the north-west of England speak about their hopes for the next pope.,https://www.bbc.com/news/articles/cj68j88pk43o,2025-05-30,11:32:21
BBC,2025-05-22,Trump confronts South African leader with claim of Afrikaners being 'persecuted',The South African leader disputed Mr Trump's allegations,https://www.bbc.com/audio/play/p0lcp5hq,2025-05-30,11:32:21
BBC,2025-05-22,Trump ambushes S African leader with claim of Afrikaners being 'persecuted',"Cyril Ramaphosa rebuts discredited claims of a ""white genocide"" in South Africa, as US president confronts him in Oval Office.",https://www.bbc.com/news/articles/ce9vvljen0xo,2025-05-30,11:32:21
BBC,2025-04-29,'I am skateboarding to Africa for charity',"Sam Allison, 21, says he is skating from Brighton to Morocco to raise money for mental health.",https://www.bbc.com/news/articles/cj68g10pjrro,2025-05-30,11:32:21
BBC,2025-05-09,What do African youth want from Pope Leo XIV,"Africa's Catholic population is growing fast, what do youth want from the new leader?",https://www.bbc.com/audio/play/p0l99gl6,2025-05-30,11:32:21
BBC,2025-04-30,South Africa sets up inquiry into apartheid prosecutions,"Several apartheid-era atrocities, like murder, have been uncovered but few have made it to court.",https://www.bbc.com/news/articles/cql6x4n6k7qo,2025-05-30,11:32:21
BBC,2025-05-08,Shock as missing South African journalist's decomposed body found,"Human remains, believed to be that of a journalist and his partner, have been found by police.",https://www.bbc.com/news/articles/c5yx34qrqn0o,2025-05-30,11:32:21
BBC,2025-05-22,Africa's ice cream cafe that nurtures self-esteem,"Tapi Tapi makes ice cream with a deep mission: to soothe the collective souls of African people by sharing folk traditions, rituals and cultures through food.",https://www.bbc.com/travel/article/20250521-africas-ice-cream-cafe-that-nurtures-self-esteem,2025-05-30,11:32:21
BBC,2025-04-30,"Man starts 1,500-mile skateboard challenge to Africa","Sam Allison plans to skateboard some 1,500 miles (2,414 km) to Morocco, camping along the way.",https://www.bbc.com/news/articles/c70zg1jy364o,2025-05-30,11:32:21
BBC,2025-05-25,Wales' papers: Benefits cut rethink call and dad's 100 days in African prison,A review of the front page stories from the daily and weekly newspapers in Wales.,https://www.bbc.com/news/articles/cdedrdjjjl6o,2025-05-30,11:32:21
BBC,2025-05-22,On the South African road incorrectly identified as a 'burial site' by Trump,The US president said video of crosses on the road was evidence of the scale of attacks on white farmers.,https://www.bbc.com/news/articles/ce81334je72o,2025-05-30,11:32:21
BBC,2025-05-09,Fashionistas and flippers: Africa's top shots,A selection of the week's best photos from across the African continent and beyond.,https://www.bbc.com/news/articles/cq69rpn3e31o,2025-05-30,11:32:21
BBC,2025-05-29,Tears and heartbreak over tragic story of South African girl sold by her mother,"Joshlin Smith's mother, branded the ""mastermind"" in her child's disappearance, is to be sentenced.",https://www.bbc.com/news/articles/cdxk480g75qo,2025-05-30,11:32:21
BBC,2025-05-19,Child sex abuse uncovered in South Africa's illegal mines,A BBC investigation finds evidence of child sex abuse in South Africa's illegal mines,https://www.bbc.com/audio/play/p0lc65tc,2025-05-30,11:32:21
BBC,2025-05-15,Do Afrikaners want to take Trump up on his South African refugee offer?,"Claims of a white genocide are widely discredited, so how do Afrikaners feel about Trump's claims – and offer of refugee status?",https://www.bbc.com/news/articles/cp3q129gpe4o,2025-05-30,11:32:21
BBC,2025-05-04,Polygamy and pageantry on display at a mass wedding in South Africa,"""He is a God [who approves] of polygamy,"" rang out as a congregation celebrated 55 marriages over Easter.",https://www.bbc.com/news/articles/c20zermp0lzo,2025-05-30,11:32:21
BBC,2025-05-09,The country sparking Africa's e-bike revolution,"Rwanda has some 100,000 motorbikes and wants to turn them all electric. Can green tech steer Africa towards the future?",https://www.bbc.com/future/article/20250508-rwanda-is-sparking-africas-e-bike-revolution,2025-05-30,11:32:21
BBC,2025-05-28,The stats do not lie - ranking Africa's Premier League stars,Egypt's Mohamed Salah was the stand-out player in this season's Premier League - but what do the statistics say about other African stars?,https://www.bbc.com/sport/football/articles/cvgdkyjp84go,2025-05-30,11:32:21
BBC,2025-05-19,BBC uncovers child sex abuse in South Africa's illegal mines,An investigation into the illicit mining sector reveals a world of child exploitation.,https://www.bbc.com/news/articles/c74z0px07nzo,2025-05-30,11:32:21
BBC,2025-04-24,Staging Othello in apartheid South Africa,Dame Janet Suzman recalls directing Shakespeare's classic in 1987,https://www.bbc.com/audio/play/w3ct74j2,2025-05-30,11:32:21
BBC,2025-05-07,South African opposition politician hits out after failing to get UK visa,"The UK Home Office was unable to process Julius Malema's application in time for his trip, the High Commission says.",https://www.bbc.com/news/articles/c5y4ylw3rq5o,2025-05-30,11:32:21
